cust_id,cust_name,cust_address,cust_state,cust_zip,cust_email,cust_phone
2644032,Customer_2644032_Name,2644032 Main St.,AK,13568,Customer_2644032_Email@Customer_2644032_Name.com,839-341-5577
4066628,Customer_4066628_Name,4066628 Main St.,AK,19200,Customer_4066628_Email@Customer_4066628_Name.com,989-378-4727
6708564,Customer_6708564_Name,6708564 Main St.,AK,95488,Customer_6708564_Email@Customer_6708564_Name.com,577-619-2982
5595177,Customer_5595177_Name,5595177 Main St.,AK,40960,Customer_5595177_Email@Customer_5595177_Name.com,396-163-1692
789262,Customer_789262_Name,789262 Main St.,AK,43264,Customer_789262_Email@Customer_789262_Name.com,322-130-3715
639915,Customer_639915_Name,639915 Main St.,AK,49408,Customer_639915_Email@Customer_639915_Name.com,800-678-8263
2435515,Customer_2435515_Name,2435515 Main St.,AK,82945,Customer_2435515_Email@Customer_2435515_Name.com,865-443-5950
6194054,Customer_6194054_Name,6194054 Main St.,AK,29185,Customer_6194054_Email@Customer_6194054_Name.com,506-820-6524
3105771,Customer_3105771_Name,3105771 Main St.,AK,94977,Customer_3105771_Email@Customer_3105771_Name.com,186-850-3071
6666603,Customer_6666603_Name,6666603 Main St.,AK,95489,Customer_6666603_Email@Customer_6666603_Name.com,792-404-1049
768858,Customer_768858_Name,768858 Main St.,AK,98561,Customer_768858_Email@Customer_768858_Name.com,659-782-6250
3263718,Customer_3263718_Name,3263718 Main St.,AK,54273,Customer_3263718_Email@Customer_3263718_Name.com,979-440-2452
5501398,Customer_5501398_Name,5501398 Main St.,AK,2,Customer_5501398_Email@Customer_5501398_Name.com,321-305-1885
7175914,Customer_7175914_Name,7175914 Main St.,AK,81922,Customer_7175914_Email@Customer_7175914_Name.com,974-196-7880
5677580,Customer_5677580_Name,5677580 Main St.,AK,17410,Customer_5677580_Email@Customer_5677580_Name.com,851-832-8957
2019068,Customer_2019068_Name,2019068 Main St.,AK,24067,Customer_2019068_Email@Customer_2019068_Name.com,963-473-3700
5763118,Customer_5763118_Name,5763118 Main St.,AK,51203,Customer_5763118_Email@Customer_5763118_Name.com,478-509-1352
4974810,Customer_4974810_Name,4974810 Main St.,AK,98820,Customer_4974810_Email@Customer_4974810_Name.com,651-327-6895
5688253,Customer_5688253_Name,5688253 Main St.,AK,44804,Customer_5688253_Email@Customer_5688253_Name.com,953-208-8817
7387285,Customer_7387285_Name,7387285 Main St.,AK,85765,Customer_7387285_Email@Customer_7387285_Name.com,980-814-1593
259979,Customer_259979_Name,259979 Main St.,AK,55557,Customer_259979_Email@Customer_259979_Name.com,277-148-7134
2198709,Customer_2198709_Name,2198709 Main St.,AK,56581,Customer_2198709_Email@Customer_2198709_Name.com,884-197-3913
2505438,Customer_2505438_Name,2505438 Main St.,AK,60421,Customer_2505438_Email@Customer_2505438_Name.com,227-811-2302
1998063,Customer_1998063_Name,1998063 Main St.,AK,65285,Customer_1998063_Email@Customer_1998063_Name.com,566-387-3408
